k, Array time, Heap time
2,641489000,680232000
4,110979000,138129000
8,103709000,50042000
16,91713000,46586000
32,92268000,53516000
64,104061000,45094000
128,87887000,45874000
256,85711000,46727000
512,92123000,55506000
1024,98140000,50076000
2048,90787000,55367000
4096,116234000,69677000
8192,89978000,60695000
16384,113680000,67816000
32768,90726000,80220000
65536,99209000,86325000
131072,88863000,111619000
262144,115978000,288505000
