k, Array time, Heap time
2,576812000,430780000
4,90241000,461879000
8,95092000,37324000
16,82520000,37984000
32,85814000,39783000
64,81461000,38594000
128,82397000,44050000
256,92938000,54141000
512,84758000,40074000
1024,107659000,65482000
2048,88502000,45878000
4096,116678000,54083000
8192,97856000,53795000
16384,105898000,79559000
32768,82734000,56366000
65536,99294000,80556000
131072,80204000,71512000
262144,93766000,238670000
